기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울경기
기간 : 20190101~20200101

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-02-14,서울경기,-1.2,-6.6,4.8
2019-02-15,서울경기,-0.9,-3,1.1
2019-02-16,서울경기,-2.3,-5.1,1.2
2019-02-17,서울경기,-1.8,-7,3.8
2019-02-18,서울경기,0.3,-5.4,5.2
2019-02-19,서울경기,1.3,-0.6,4
2019-02-20,서울경기,1.8,-1,4.9
2019-02-21,서울경기,1.7,-3.2,8
2019-02-22,서울경기,2.8,-2.7,10.2
2019-02-23,서울경기,5.6,-0.7,14
2019-02-24,서울경기,4.9,-0.5,12.2
2019-02-25,서울경기,3.9,0,10.1
2019-02-26,서울경기,4.6,-2.2,11
2019-02-27,서울경기,6.5,2.9,12.5
2019-02-28,서울경기,5.5,0.2,12.4
2019-03-01,서울경기,5.4,-0.2,12.1
2019-03-02,서울경기,6.6,-0.3,13.6
2019-03-03,서울경기,8.2,0.8,15.1
2019-03-04,서울경기,8.2,3.9,15.2
2019-03-05,서울경기,7.2,3.9,12.4
2019-03-06,서울경기,7.2,3.6,11.9
2019-03-07,서울경기,6.2,1.5,12.5
2019-03-08,서울경기,4.7,-0.7,11.8
2019-03-09,서울경기,6,-1.3,13.8
2019-03-10,서울경기,9.5,5,15.2
2019-03-11,서울경기,5.3,1.8,8.8
2019-03-12,서울경기,4.2,0.5,8.4
2019-03-13,서울경기,3.7,0,8.2
2019-03-14,서울경기,4.6,-2.4,9.7
2019-03-15,서울경기,5,0.8,11.3
2019-03-16,서울경기,4.3,-0.2,8.9
2019-03-17,서울경기,5.8,1.1,11.8
2019-03-18,서울경기,6,-0.1,12.7
2019-03-19,서울경기,8.3,2,15.1
2019-03-20,서울경기,9.5,5.1,14.5
2019-03-21,서울경기,7,2.1,11.3
2019-03-22,서울경기,3.6,-0.7,8.5
2019-03-23,서울경기,3.4,-1.1,8.5
2019-03-24,서울경기,4.4,-0.3,9.2
2019-03-25,서울경기,7.2,2.3,11.9
2019-03-26,서울경기,10,5.3,16.1
2019-03-27,서울경기,10.6,5.9,15.3
2019-03-28,서울경기,8.6,4.9,13.9
2019-03-29,서울경기,8.6,5.2,13.5
2019-03-30,서울경기,5.1,3.2,8.7
2019-03-31,서울경기,4.7,2.5,8.7
2019-04-01,서울경기,5.6,0.3,10.8
2019-04-02,서울경기,6.6,0.6,12.3
2019-04-03,서울경기,7.1,1.2,13
2019-04-04,서울경기,8.4,2,14.4
2019-04-05,서울경기,10.7,6.2,16.6
2019-04-06,서울경기,9.3,4.6,12.1
2019-04-07,서울경기,12.1,4.6,19.3
2019-04-08,서울경기,11.3,6.4,17
2019-04-09,서울경기,9.3,5,14.2
2019-04-10,서울경기,7,4.7,10.5
2019-04-11,서울경기,8.6,3.5,14.7
2019-04-12,서울경기,10.1,4,17
2019-04-13,서울경기,10.9,4.7,17.2
2019-04-14,서울경기,9.3,6.3,13.7
2019-04-15,서울경기,10.7,3.8,16.9
2019-04-16,서울경기,13.8,5.7,21.6
2019-04-17,서울경기,14,7.8,20.7
2019-04-18,서울경기,11.7,8.8,16.1
2019-04-19,서울경기,13.5,9,19.2
2019-04-20,서울경기,13.7,9.6,18.5
2019-04-21,서울경기,13.6,10.9,18.6
2019-04-22,서울경기,17.4,9.1,27.1
2019-04-23,서울경기,18.5,13.1,24.4
2019-04-24,서울경기,17.7,14,24
2019-04-25,서울경기,13.1,8.7,17.1
2019-04-26,서울경기,8.6,6.8,10.5
2019-04-27,서울경기,11.3,4.1,17.5
2019-04-28,서울경기,12.5,9.3,16.5
2019-04-29,서울경기,12.6,8.1,16.9
2019-04-30,서울경기,14.6,8.4,21.5
2019-05-01,서울경기,15.3,10,20.9
2019-05-02,서울경기,16.1,9.7,24.2
2019-05-03,서울경기,15.9,8.7,24.1
2019-05-04,서울경기,17.1,10.2,24.9
2019-05-05,서울경기,17.4,11.3,25.3
2019-05-06,서울경기,14,9.6,19.3
2019-05-07,서울경기,13.8,7.6,20.2
2019-05-08,서울경기,14.2,8.7,19.8
2019-05-09,서울경기,15,10.5,20.5
2019-05-10,서울경기,15.9,9.1,24
2019-05-11,서울경기,17.6,11.1,25.6
2019-05-12,서울경기,19.3,11.6,26.9
2019-05-13,서울경기,17.3,13.7,22.5
2019-05-14,서울경기,18.3,11.9,25.3
2019-05-15,서울경기,19,13.5,25.8
2019-05-16,서울경기,21.7,14.9,28.5
2019-05-17,서울경기,22,16,27.2
2019-05-18,서울경기,21.6,17.2,25.7
2019-05-19,서울경기,19.1,17.6,21.1
2019-05-20,서울경기,15.7,11.9,19.7
2019-05-21,서울경기,16.4,11.4,22.6
2019-05-22,서울경기,18.3,11.5,24.6
2019-05-23,서울경기,20,13.4,27.5
2019-05-24,서울경기,22.5,15.2,30.8
2019-05-25,서울경기,22.1,16.8,27.2
2019-05-26,서울경기,23.5,17.7,29.4
2019-05-27,서울경기,17.6,14.6,22.6
2019-05-28,서울경기,17.6,12.2,22.8
2019-05-29,서울경기,18.9,12.8,24.8
2019-05-30,서울경기,18.8,13.5,24
2019-05-31,서울경기,18.3,15,22.5
2019-06-01,서울경기,17.5,13.6,22.1
2019-06-02,서울경기,19.8,13.1,26.2
2019-06-03,서울경기,21.6,14.9,28.1
2019-06-04,서울경기,21,16.5,26.8
2019-06-05,서울경기,20.7,17.2,26.2
2019-06-06,서울경기,20.3,17.1,23.8
2019-06-07,서울경기,19.8,17,24.4
2019-06-08,서울경기,21.1,15.6,26.4
2019-06-09,서울경기,20.7,17.5,25.2
2019-06-10,서울경기,19,15.9,22.8
2019-06-11,서울경기,20.2,15.8,25.3
2019-06-12,서울경기,20.4,15.4,25.1
2019-06-13,서울경기,21.8,15.7,27.9
2019-06-14,서울경기,21.9,17.9,27.4
2019-06-15,서울경기,21.8,17.8,26.6
2019-06-16,서울경기,21.1,16.4,26.6
2019-06-17,서울경기,20.4,17.3,24.7
2019-06-18,서울경기,20.4,17.4,24.4
2019-06-19,서울경기,21.2,18.8,25.6
2019-06-20,서울경기,22,19.4,26.8
2019-06-21,서울경기,21.7,18.7,25.7
2019-06-22,서울경기,23.7,17.7,29.5
2019-06-23,서울경기,24.1,18,29.8
2019-06-24,서울경기,23.7,19.3,28.8
2019-06-25,서울경기,24.2,18,30.8
2019-06-26,서울경기,24,19.6,28.2
2019-06-27,서울경기,24.6,21.3,29.3
2019-06-28,서울경기,23.5,21,28.1
2019-06-29,서울경기,22.9,20,26.5
2019-06-30,서울경기,23,20.1,26.7
2019-07-01,서울경기,22.9,19.4,27.5
2019-07-02,서울경기,23.3,19.9,28.3
2019-07-03,서울경기,23.3,20.1,26.9
2019-07-04,서울경기,23.7,18.8,29.8
2019-07-05,서울경기,25.9,19.4,32.9
2019-07-06,서울경기,28.5,21.9,35.1
2019-07-07,서울경기,26.6,23.1,31.4
2019-07-08,서울경기,25,21.2,30.2
2019-07-09,서울경기,24.9,19.8,29.8
2019-07-10,서울경기,22.3,19.2,26.1
2019-07-11,서울경기,21.5,19.4,24.7
2019-07-12,서울경기,23.1,19.6,27.1
2019-07-13,서울경기,23.7,21.2,27.7
2019-07-14,서울경기,24.6,20.7,29.9
2019-07-15,서울경기,23.6,21.3,26.9
2019-07-16,서울경기,24.3,21.3,28.6
2019-07-17,서울경기,25.2,21.7,29.2
2019-07-18,서울경기,26.3,22.4,31.5
2019-07-19,서울경기,28.1,22,34.4
2019-07-20,서울경기,28.1,25.3,31.6
2019-07-21,서울경기,24.9,23.6,27.6
2019-07-22,서울경기,25.8,23.4,30
2019-07-23,서울경기,27.2,23.6,31.8
2019-07-24,서울경기,26,24.8,26.8
2019-07-25,서울경기,25.8,25.2,26.7
2019-07-26,서울경기,24.9,23.7,26.3
2019-07-27,서울경기,27.8,24.6,32.4
2019-07-28,서울경기,25.9,24.6,27.6
2019-07-29,서울경기,27.2,25.4,29.6
2019-07-30,서울경기,27.5,25.8,29.8
2019-07-31,서울경기,25.9,23.8,27.4
2019-08-01,서울경기,26.2,23.6,29.3
2019-08-02,서울경기,27.8,24.3,32.4
2019-08-03,서울경기,28.7,24.5,34.6
2019-08-04,서울경기,28.4,24.4,33.6
2019-08-05,서울경기,30,25.2,35.2
2019-08-06,서울경기,31.2,27.4,35.6
2019-08-07,서울경기,27.3,24.5,30.8
2019-08-08,서울경기,28.1,25.3,31.8
2019-08-09,서울경기,28.8,25,33.2
2019-08-10,서울경기,30.8,25.8,35.9
2019-08-11,서울경기,30.1,25.2,35.3
2019-08-12,서울경기,26.4,24.5,28.9
2019-08-13,서울경기,28.1,24.1,33.5
2019-08-14,서울경기,29.7,25.5,34.5
2019-08-15,서울경기,25.8,23.5,28.7
2019-08-16,서울경기,25.8,23.1,29.5
2019-08-17,서울경기,25.2,22.3,28.4
2019-08-18,서울경기,24.8,21.7,29.2
2019-08-19,서울경기,25.6,20.8,30.6
2019-08-20,서울경기,27.4,22.6,31.8
2019-08-21,서울경기,26.6,24,30.6
2019-08-22,서울경기,26.2,23.1,30.3
2019-08-23,서울경기,25.5,21.8,29.5
2019-08-24,서울경기,23.6,20.7,27.3
2019-08-25,서울경기,24.3,19.9,28.7
2019-08-26,서울경기,25.6,21,30.5
2019-08-27,서울경기,25,21.8,28.4
2019-08-28,서울경기,25.4,22.6,29.2
2019-08-29,서울경기,23.8,20.1,27.2
2019-08-30,서울경기,22.7,19.4,26.4
2019-08-31,서울경기,22.9,18,28
2019-09-01,서울경기,23.1,18.7,27.4
2019-09-02,서울경기,23.9,19,29.4
2019-09-03,서울경기,23.9,21.3,27.6
2019-09-04,서울경기,22.8,21.3,25.5
2019-09-05,서울경기,23,21.8,26.6
2019-09-06,서울경기,24.9,21.8,28.2
2019-09-07,서울경기,25.5,22.7,29.6
2019-09-08,서울경기,24.3,22.4,26.9
2019-09-09,서울경기,24.8,22,28.3
2019-09-10,서울경기,23.6,21.8,26.5
2019-09-11,서울경기,24.1,20.5,28
2019-09-12,서울경기,20.4,17.6,23
2019-09-13,서울경기,22.6,17.7,28.3
2019-09-14,서울경기,22.3,20.7,24.3
2019-09-15,서울경기,23.6,19.6,28.7
2019-09-16,서울경기,24,19.6,29.4
2019-09-17,서울경기,22.9,17.2,28.5
2019-09-18,서울경기,20.6,15.7,24.6
2019-09-19,서울경기,18.9,12.3,25.1
2019-09-20,서울경기,19.5,15,23.5
2019-09-21,서울경기,19.3,17.6,21.9
2019-09-22,서울경기,18.7,16.9,20.3
2019-09-23,서울경기,19.5,15.8,24.1
2019-09-24,서울경기,19.1,13.8,25
2019-09-25,서울경기,19.9,14.7,25.8
2019-09-26,서울경기,22.1,17.1,27.8
2019-09-27,서울경기,22.7,19.3,27
2019-09-28,서울경기,22.8,18.7,28
2019-09-29,서울경기,21.4,16.4,27.5
2019-09-30,서울경기,21.2,15.9,27.9
2019-10-01,서울경기,22.3,16.7,27.8
2019-10-02,서울경기,21.8,19.9,24.4
2019-10-03,서울경기,22.9,19.8,27.7
2019-10-04,서울경기,21.8,18.1,26.7
2019-10-05,서울경기,18.4,14.5,21.4
2019-10-06,서울경기,17.7,13.1,22.2
2019-10-07,서울경기,14.9,13.3,18
2019-10-08,서울경기,15,10.5,19.5
2019-10-09,서울경기,13.2,7.6,19.7
2019-10-10,서울경기,15.2,10.5,19.8
2019-10-11,서울경기,18.8,13,24.9
2019-10-12,서울경기,18,13.9,22.9
2019-10-13,서울경기,16.8,12,22.8
2019-10-14,서울경기,14,8.9,18.5
2019-10-15,서울경기,13.6,7.3,19.9
2019-10-16,서울경기,14,8.7,19.9
2019-10-17,서울경기,14.9,10.3,21
2019-10-18,서울경기,16.9,11.5,22.8
2019-10-19,서울경기,16.5,11.5,22
2019-10-20,서울경기,15.6,11.5,21.7
2019-10-21,서울경기,16.5,10.6,23.4
2019-10-22,서울경기,17.2,12.5,23.3
2019-10-23,서울경기,16.9,13.5,20.4
2019-10-24,서울경기,18.2,14.2,23.2
2019-10-25,서울경기,16.3,11.4,21.5
2019-10-26,서울경기,9.7,6.2,13.7
2019-10-27,서울경기,10.9,4.3,16.9
2019-10-28,서울경기,13.2,7.7,17.5
2019-10-29,서울경기,12.5,7.7,17.6
2019-10-30,서울경기,11,4.8,17.1
2019-10-31,서울경기,14.9,8.4,19.7
2019-11-01,서울경기,14.3,10,19.7
2019-11-02,서울경기,12.9,7.5,18.1
2019-11-03,서울경기,14.2,8.4,20.8
2019-11-04,서울경기,13.4,8.4,19.1
2019-11-05,서울경기,12,7.9,17.3
2019-11-06,서울경기,10.5,5.1,15.9
2019-11-07,서울경기,9,5.1,13
2019-11-08,서울경기,6.5,0.3,12.6
2019-11-09,서울경기,9.3,3.1,16.6
2019-11-10,서울경기,9.9,5.6,15.1
2019-11-11,서울경기,11.4,7.8,15.4
2019-11-12,서울경기,9.2,4.5,14.7
2019-11-13,서울경기,7.7,3.4,12.6
2019-11-14,서울경기,1.6,-1.8,4.9
2019-11-15,서울경기,6.6,1.7,9.5
2019-11-16,서울경기,6.8,3.1,12.9
2019-11-17,서울경기,8.8,5.3,12.6
2019-11-18,서울경기,4.6,0.3,13.5
2019-11-19,서울경기,0.5,-3.1,4.5
2019-11-20,서울경기,0.5,-4.2,5.8
2019-11-21,서울경기,4.5,-2.3,9.3
2019-11-22,서울경기,9.6,2.7,16.5
2019-11-23,서울경기,11.7,6.9,17.4
2019-11-24,서울경기,9.8,4.3,16.1
2019-11-25,서울경기,1.3,-1.7,5.1
2019-11-26,서울경기,6.1,0.1,12.6
2019-11-27,서울경기,3,-0.4,6.3
2019-11-28,서울경기,2.9,-1.6,9.4
2019-11-29,서울경기,1.4,-3.3,7
2019-11-30,서울경기,3.9,-2,9.1
2019-12-01,서울경기,4.7,2.3,6.5
2019-12-02,서울경기,0.2,-3.1,3.3
2019-12-03,서울경기,0.7,-4.8,4.4
2019-12-04,서울경기,2,-2.2,7.2
2019-12-05,서울경기,-4.1,-8.4,0.2
2019-12-06,서울경기,-5.8,-10.6,-0.8
2019-12-07,서울경기,-1.5,-5.6,3.2
2019-12-08,서울경기,-0.7,-5.7,5.1
2019-12-09,서울경기,4.3,-1.4,8.8
2019-12-10,서울경기,7.3,4.1,10.3
2019-12-11,서울경기,6.2,-0.1,10.2
2019-12-12,서울경기,-0.5,-3.1,3.2
2019-12-13,서울경기,2.6,-3.4,6.7
2019-12-14,서울경기,2.4,-0.3,7.2
2019-12-15,서울경기,4.3,-1.4,11.2
2019-12-16,서울경기,7.8,0.9,13.1
2019-12-17,서울경기,7.7,3.3,11.2
2019-12-18,서울경기,0.6,-1.7,4.2
2019-12-19,서울경기,-0.8,-4.3,3.2
2019-12-20,서울경기,-1.4,-4.3,1.9
2019-12-21,서울경기,-0.9,-5.3,2.4
2019-12-22,서울경기,3.8,-0.3,8.2
2019-12-23,서울경기,3,-0.7,5.7
2019-12-24,서울경기,0.2,-3.6,5.7
2019-12-25,서울경기,1.5,-3.2,6.7
2019-12-26,서울경기,2,-1.8,4
2019-12-27,서울경기,-1.6,-5.1,2.5
2019-12-28,서울경기,1.5,-3.6,5.9
2019-12-29,서울경기,4,0.9,6.6
2019-12-30,서울경기,2.3,-5.4,6.5
2019-12-31,서울경기,-7.4,-10.3,-4.5
2020-01-01,서울경기,-1.9,-6.2,1.2

